Item,Title,URL,Descriptions,ImageURL
1,E-Commerce ,https://en.wikipedia.org/wiki/Online_shopping,,https://simicart.com/wp-content/uploads/eCommerce-logo.jpg
2,News Website,https://en.wikipedia.org/wiki/Online_newspaper,,https://img.freepik.com/free-vector/gradient-breaking-news-logo-design_23-2151157248.jpg?semt=ais_hybrid&w=740&q=80
3,Flight ticket purchase system,https://en.wikipedia.org/wiki/Airline_reservations_system,,https://static.vecteezy.com/system/resources/previews/045/545/876/non_2x/flights-multi-color-concept-icon-travel-service-online-booking-buy-tickets-flight-reservation-round-shape-line-illustration-abstract-idea-graphic-design-easy-to-use-in-application-vector.jpg
4,Inventory management system,https://en.wikipedia.org/wiki/Inventory_management_software,,https://www.shutterstock.com/image-vector/inventory-management-icon-monochrome-simple-260nw-2361436289.jpg
5,Library (Book Rental and Return) System,https://en.wikipedia.org/wiki/Digital_library,,https://media.istockphoto.com/id/486401464/vector/book-checkout-icon-flat-graphic-design.jpg?s=612x612&w=0&k=20&c=tc9f4CyG-1ianEOKt18YX-P9THK1hLF-dITca4xL95I=
6,Blackboard System,https://en.wikipedia.org/wiki/Blackboard_system,,https://upload.wikimedia.org/wikipedia/commons/7/77/Blackboard_Inc._logo.png
7,Course-Enrollment System,https://en.wikipedia.org/wiki/CourseWork_Course_Management_System,,https://www.shutterstock.com/image-vector/course-registration-concept-tiny-people-260nw-2398144747.jpg
8,Food/Dishes Order System,https://en.wikipedia.org/wiki/Online_food_ordering,,https://img.freepik.com/premium-vector/food-order-logo-design-creative-idea_393879-3171.jpg?w=360
9,Movie Rating and Reviews System,https://en.wikipedia.org/wiki/IMDb,,http://eartfilm.com/cdn/shop/products/u-s-one-sheet-26-25-x40-m-p-a-a-movie-rating-system-1986-27x-41-original-u-s-movie-ratings-poster-movie-poster-13829027856477.jpg?v=1625604184
10,Social Networks,https://en.wikipedia.org/wiki/Social_network,,https://img.freepik.com/free-vector/social-media-logos-collection-flat-style_23-2147818913.jpg?semt=ais_hybrid&w=740&q=80
11,HR-Employee Management System,https://en.wikipedia.org/wiki/Human_resource_management_system,,https://www.shutterstock.com/image-vector/hrms-human-resource-management-system-260nw-2081444509.jpg
12,Medical/HealthCare appointment system,https://en.wikipedia.org/wiki/Hospital_information_system,,https://www.shutterstock.com/image-vector/doctor-appointment-icon-260nw-591360386.jpg
13,Payroll Information System,https://en.wikipedia.org/wiki/Accounting_information_system,,https://www.shutterstock.com/image-vector/payroll-processing-blue-gradient-concept-260nw-2568354203.jpg
14,Hotels/Room Reservation System,https://en.wikipedia.org/wiki/Online_hotel_reservations,,https://www.shutterstock.com/image-vector/hotel-resort-icon-room-service-260nw-2499391869.jpg
15,Question Answering system,https://en.wikipedia.org/wiki/Question_answering,,https://miro.medium.com/v2/resize:fit:1400/0*LzSaud2YGFyE8Ius.jpeg
16,Online Video Streaming System,https://en.wikipedia.org/wiki/Online_video_platform,,https://fabrikbrands.com/wp-content/uploads/Streaming-Service-Logos-1.png
17,Online Music Streaming System,https://en.wikipedia.org/wiki/Music_streaming_service,,https://fabrikbrands.com/wp-content/uploads/Music-Streaming-Logos-1.png
18,File Management System,https://en.wikipedia.org/wiki/Document_management_system,,https://cdn-icons-png.flaticon.com/512/2833/2833704.png
19,Online Resume Builder and View System,https://en.wikipedia.org/wiki/R%C3%A9sum%C3%A9_parsing,,https://imgv3.fotor.com/images/share/Fotor-free-resume-builder.jpg
20,Online Job Seeking System,https://en.wikipedia.org/wiki/Job_hunting,,https://cdn-icons-png.flaticon.com/512/52/52782.png
21,Credit Card Fraud Detection,https://www.kaggle.com/datasets/mlg-ulb/creditcardfraud,"It is important that credit card companies are able to recognize fraudulent credit card transactions so that customers are not charged for items that they did not purchase.The datasets contains transactions made by credit cards in September 2013 by european cardholders.This dataset presents transactions that occurred in two days, where we have 492 frauds out of 284,807 transactions. The dataset is highly unbalanced, the positive class (frauds) account for 0.172% of all transactions.It contains only numerical input variables which are the result of a PCA transformation. Unfortunately, due to confidentiality issues, we cannot provide the original features and more background information about the data. Features V1, V2, ?? V28 are the principal components obtained with PCA, the only features which have not been transformed with PCA are 'Time' and 'Amount'. Feature 'Time' contains the ",https://previews.123rf.com/images/ranksol/ranksol2011/ranksol201100848/158833392-credit-card-fraud-detection-fully-editable-vector-icons.jpg
